municipio,hhi,hhi_norm
IMBITUBA,0.1002689920347626,0.0433044439362742
IMBUIA,0.15229939058766678,0.10161336375600459
INDAIAL,0.12179611059387793,0.06742924530094149
IOMERE,0.2568742568370987,0.2188073053918178
IPIRA,0.1769128357741405,0.12919691955764118
IPORA DO OESTE,0.11109019814512448,0.05543144770696987
IPUACU,0.9539505767679526,1.0
IPUMIRIM,0.4934215257232084,0.48389879265059643
IRACEMINHA,0.34930555555555554,0.3223923121514329
IRANI,0.1660890429218875,0.11706701690226044
IRATI,0.47785382231404955,0.4664525305594267
IRINEOPOLIS,0.1256207389950341,0.07171539257226256
ITA,0.43415987849598603,0.41748602756205416
ITAIOPOLIS,0.5455118873902706,0.5422749113485369
ITAJAI,0.07814837701526334,0.018514528744223234
ITAPEMA,0.4437745129535687,0.42826086237545985
ITAPIRANGA,0.8100294622301585,0.8387118884085107
ITAPOA,0.1486032523947427,0.09747121163862812
ITUPORANGA,0.1540593673423925,0.10358571734794461
JABORA,0.3862476590945483,0.36379222860675425
JACINTO MACHADO,0.5020114738328095,0.4935252919569413
JAGUARUNA,0.1736305047093202,0.12551850877849227
JARAGUA DO SUL,0.16534692190748185,0.116235343958577
JARDINOPOLIS,0.24083709099317843,0.20083493071592423
JOACABA,0.3208725958498699,0.29052834005383865
JOINVILLE,0.09577013110293482,0.038262704325393956
JOSE BOITEUX,0.4621907873109797,0.44889943318695513
JUPIA,0.1668001922768787,0.11786398082860576
LACERDOPOLIS,0.22524444444444444,0.18336071559025943
LAGES,0.10141040376109112,0.04458359010241624
LAGUNA,0.18508239020542844,0.13835229617488032
LAJEADO GRANDE,0.2312187765105099,0.19005597180788092
LAURENTINO,0.19712708436576862,0.15185042660596557
LAURO MULLER,0.45653775748243797,0.4425642508285915
LEBON REGIS,0.24733686067019403,0.20811902923303358
LEOBERTO LEAL,0.2975206611570248,0.26435852153407097
LINDOIA DO SUL,0.3234618916437098,0.2934300868217221
LONTRAS,0.1443100266942734,0.09265992131414343
LUIZ ALVES,0.44220886752136757,0.4265062901155622
LUZERNA,0.24565095610834378,0.2062296861440951
MACIEIRA,0.4429761804561906,0.42736619489502964
MAFRA,0.10657221315996285,0.050368276338434756
MAJOR GERCINO,0.2855917159763314,0.2509901075410902
MAJOR VIEIRA,0.27434256055363326,0.23838351370700975
MARACAJA,0.2322492657688006,0.191210810463896
MARAVILHA,0.26462968215626936,0.2274985798329241
MAREMA,0.17708333333333334,0.12938799110014199
MASSARANDUBA,0.137917754687536,0.08549629223819522
MATOS COSTA,0.42951228195087215,0.41227760437406047
MELEIRO,0.24121583100789148,0.20125937338337704
MIRIM DOCE,0.3598731922175932,0.33423514818476174
MODELO,0.13516034454811474,0.08240614472440778
MONDAI,0.42403704219664,0.40614166606294594
MONTE CARLO,0.4801415820252385,0.4690163548098
MONTE CASTELO,0.2062413434903047,0.16206450566915886
MORRO DA FUMACA,0.1622715223363829,0.11278883514849154
MORRO GRANDE,0.2654658698762731,0.22843567053520583
NAVEGANTES,0.1289830008688456,0.07548337943120752
NOVA ERECHIM,0.3432414014006625,0.3155963949909558
NOVA ITABERABA,0.150634765625,0.09974786808082987
NOVA TRENTO,0.2671453569615962,0.23031782174911217
NOVA VENEZA,0.25992677424197497,0.222228170838933
NOVO HORIZONTE,0.3883161512027491,0.3661103261773925
ORLEANS,0.3771367002683427,0.3535818480897202
OTACILIO COSTA,0.25628322155096134,0.21814494972919546
OURO,0.17095898147148467,0.12252461216028533
