municipio,def_mean,ppt_std,ws_std,dtr_mean
Santa Terezinha do Progresso,0.15006405509427612,0.6621272185506615,0.3540349824949643,0.9129899445926531
Indaial,0.12054662269374393,0.26915049510940176,0.22507158853611658,0.41105908251403844
Rio Negrinho,0.06568805100136936,0.12231150504512309,0.29995659062953894,0.6661276421095834
Rodeio,0.10520652768986577,0.19999749432402394,0.18427459427026394,0.4487995074902522
Ibicaré,0.13373353977138744,0.3366361603187208,0.3857619797414121,0.7075723373691774
Riqueza,0.76944509947501,0.9488161082707498,0.06747355312023967,0.8458444490047197
Ibirama,0.12397438466034644,0.1403847095336016,0.2310853872764776,0.5113599718565855
Rio Rufino,0.01839670581680932,0.17594708532377062,0.6241703993084972,0.45458649702442006
Rio Fortuna,0.09155969845150776,0.14347953734129848,0.6531608281604192,0.34773240303714337
Herval d'Oeste,0.17078158459266274,0.36977587922613775,0.41226295440430794,0.6899556425515793
Ibiam,0.17765463203140833,0.31391044524883277,0.39622798310433355,0.6759285860865998
Ilhota,0.12323045708919386,0.3370709607231601,0.38717028811076953,0.3864735715751514
Saltinho,0.09825015233154434,0.6088667306706084,0.35470184555900486,0.9098531265574152
Salete,0.08099625322516366,0.09346959215031368,0.11251802274374863,0.6291812025446335
Romelândia,0.29289413295221695,0.7814046409669995,0.27550741833443076,0.912153309444506
Içara,0.6654301705063127,0.13741143606062498,0.7639928700566344,0.5051697737927986
Rio do Campo,0.07062187146293071,0.10238843098806907,0.19811208827223595,0.668946804386985
Guabiruba,0.125853780629574,0.28921126830395033,0.32462916400815683,0.37081879745536594
Guaraciaba,0.32361670185444896,0.8336156238199611,0.2505207122717917,0.9427457418428073
Gravatal,0.30720244029913524,0.20142919909315252,0.8018394574772706,0.276626308229017
Rio das Antas,0.12028084952637842,0.1647644310968551,0.33352832929178544,0.7300088925371093
Guatambú,0.7967067821175277,0.6838016466682326,0.04540005597234365,0.6107120870100552
Rio do Sul,0.0989392641869278,0.13619172386391365,0.25410958271034634,0.5172994048840551
Guarujá do Sul,0.2431594123755269,0.7605118263240338,0.36757001458263033,0.9630617689308432
Rio do Oeste,0.09410634524661557,0.11107287180632705,0.18401560473872056,0.5605376564744509
Rio dos Cedros,0.06114288306556016,0.1704566430178639,0.14557363211459873,0.5312453561850308
Guaramirim,0.0896121593191331,0.4513510808637888,0.10353366384203798,0.2951901371765928
Presidente Getúlio,0.12813776878662136,0.09919670605673972,0.1742847062760201,0.5543470825637867
Garuva,0.06969150488610831,0.5735504719259202,0.004492335661714779,0.2607268087688147
Presidente Castello Branco,0.3347016577099855,0.4771174586134852,0.3280521815523727,0.6955674122717012
Garopaba,0.10228302284884513,0.20028931107745152,0.9484946596575874,0.0
Rancho Queimado,0.028829963718201707,0.14303103234674966,0.5352657721110264,0.3163349066283602
Grão-Pará,0.06038124482414314,0.13139149200683367,0.6351414951191705,0.437488683139991
Presidente Nereu,0.09456314287802503,0.19685746660398745,0.35094358056252994,0.438846706341063
Gaspar,0.13646453703917122,0.31986434673301256,0.28413831928146815,0.3776494385975196
Quilombo,0.28209965353921757,0.645436130181422,0.25291479791224963,0.8609133530126757
Governador Celso Ramos,0.0856555890655403,0.26269253389312647,0.751298626469201,0.18017648265955236
Princesa,0.2997840467650454,0.7909096358969901,0.2843580895656752,0.9681099938436281
Porto Belo,0.11571287321228368,0.32963507163290817,0.6591302279541682,0.3379437718038166
Faxinal dos Guedes,0.07158622201812849,0.7286116714102918,0.294909388345863,0.8688692797044942
Flor do Sertão,0.4113523002604953,0.8608566621350318,0.20175257220735224,0.8918530679253024
Ponte Alta do Norte,0.06763949048275064,0.17600460139598617,0.33281431717980536,0.6290785963472194
Entre Rios,0.2080773542832793,0.6450548273745805,0.2723132084341048,0.8746152267596962
Doutor Pedrinho,0.06880216066459074,0.0864638504104558,0.17651476444060907,0.59254538974154
Ponte Serrada,0.07644132827196631,0.4674298130386956,0.42749946051546106,0.7956084547506667
Erval Velho,0.2770704074490702,0.37426162421256715,0.37630536141078386,0.669290897897506
Ermo,0.3505068557567533,0.01800178306165582,0.548652189261597,0.3931869484916888
Frei Rogério,0.103721935387785,0.2937392579779976,0.4581752265308193,0.6581674533141799
Pouso Redondo,0.07207347282496526,0.11176022875989479,0.2057427922799948,0.563855256857514
Praia Grande,0.09011815054161744,0.05263424321426392,0.49648351321302303,0.2568312049124689
Galvão,0.08211867026234121,0.46898096193579547,0.4240553031040546,0.9900618568790126
Formosa do Sul,0.14216145607089223,0.5833304796656957,0.29392066177388687,0.9098091524728095
Porto União,0.09681450263282888,0.0,0.17127922151719488,0.798803904898713
