municipio,empregos,empresas,populacao,empregos_pc,empresas_pc,exposure_index_pc
PRESIDENTE NEREU,115,14,2301.0,0.09131413731017898,0.22924608829195386,0.1602801128010664
PRINCESA,494,14,2964.0,0.3179361570698549,0.16886722240261842,0.24340168973623666
QUILOMBO,2132,45,11022.0,0.36991612937605317,0.140447009575946,0.25518156947599957
RANCHO QUEIMADO,244,29,3279.0,0.13876900238278886,0.3516861300338204,0.2452275662083046
RIO DAS ANTAS,719,41,6253.0,0.21756416017276867,0.2502102836951694,0.23388722193396905
RIO DO CAMPO,560,51,6452.0,0.162815973277629,0.3099994831499687,0.23640772821379885
RIO DO OESTE,879,84,7747.0,0.21460917509113364,0.44036008065472626,0.32748462787293
RIO DO SUL,10308,670,72587.0,0.27004799393239554,0.36881728056539936,0.3194326372488975
RIO DOS CEDROS,2439,151,10865.0,0.43022060057067046,0.5758913454658798,0.5030559730182751
RIO FORTUNA,498,67,4847.0,0.19379106521423373,0.5725704739374471,0.3831807695758404
RIO NEGRINHO,6554,366,39261.0,0.3184555575854801,0.37289552146966193,0.345675539527571
RIO RUFINO,118,9,2397.0,0.0898574199271905,0.12589313724018847,0.10787527858368948
RIQUEZA,386,31,4768.0,0.1514771103330331,0.24776246395899915,0.19961978714601614
RODEIO,1839,177,12757.0,0.2742181952928217,0.5748664460476756,0.42454232067024866
ROMELANDIA,27,13,4823.0,0.005122990120138653,0.07889862305654183,0.04201080658834024
SALETE,1667,93,7489.0,0.4265516661599599,0.5102481842045983,0.4683999251822791
SALTINHO,255,20,3632.0,0.13060498259076703,0.2036164186617734,0.1671107006262702
SALTO VELOSO,1089,38,4390.0,0.4760185294625705,0.343340081069236,0.40967930526590324
SANGAO,3587,159,12882.0,0.5350330619227283,0.5069026607615634,0.5209678613421458
SANTA CECILIA,2967,149,15546.0,0.3649086506840721,0.38452933245626186,0.37471899157016697
SANTA HELENA,277,18,2425.0,0.21609203257080342,0.2886225279611531,0.25235728026597826
SANTA ROSA DE LIMA,138,30,2088.0,0.12260872752999424,0.5967418543228282,0.35967529092641126
SANTA ROSA DO SUL,264,49,9792.0,0.046611584776250145,0.18132210452072198,0.11396684464848605
SANTA TEREZINHA,254,36,8066.0,0.055408231899345295,0.15732492732228937,0.10636657961081733
SANTA TEREZINHA DO PROGRESSO,75,10,2576.0,0.05079513353723358,0.13154051525142252,0.09116782439432805
SANTIAGO DO SUL,97,15,1651.0,0.10835423639268194,0.36238881869809386,0.2353715275453879
SANTO AMARO DA IMPERATRIZ,2003,231,27272.0,0.13688973856457476,0.3350966382532714,0.23599318840892308
SAO BENTO DO SUL,14519,674,83277.0,0.33285001191037095,0.31838200437694464,0.32561600814365776
SAO BERNARDINO,157,13,2684.0,0.10785416674635734,0.17419855020826103,0.14102635847730918
SAO BONIFACIO,305,33,2946.0,0.19531804186031074,0.4562747161871658,0.32579637902373826
SAO CARLOS,1457,71,10282.0,0.26945574468065786,0.2656677953646103,0.2675617700226341
SAO CRISTOVAO DO SUL,597,57,6084.0,0.18482290796162526,0.37496328014575736,0.27989309405369134
SAO DOMINGOS,445,47,9226.0,0.08792511861433189,0.18532441668517377,0.13662476764975284
SAO FRANCISCO DO SUL,2720,175,52674.0,0.09453825641811484,0.10671109153032324,0.10062467397421904
SAO JOAO BATISTA,5988,393,32687.0,0.3500304012211286,0.492720333829529,0.4213753675253288
SAO JOAO DO ITAPERIU,1002,50,4463.0,0.43027959629856183,0.4563455756524216,0.4433125859754917
SAO JOAO DO OESTE,754,44,6295.0,0.22687230636078692,0.2694123146505609,0.24814231050567392
SAO JOAO DO SUL,334,58,8668.0,0.06908522607140206,0.2561740420883374,0.16262963407986972
SAO JOAQUIM,481,105,25939.0,0.03026428126829889,0.1389037841970792,0.08458403273268904
