municipio,def_mean,ppt_std,ws_std,dtr_mean,hazard_mean,hazard_max,hazard_index
Rio Rufino,0.01839670581680932,0.17594708532377062,0.6241703993084972,0.45458649702442006,0.3182751718683743,0.6241703993084972,0.4712227855884357
Rio Fortuna,0.09155969845150776,0.14347953734129848,0.6531608281604192,0.34773240303714337,0.3089831167475922,0.6531608281604192,0.4810719724540057
Herval d'Oeste,0.17078158459266274,0.36977587922613775,0.41226295440430794,0.6899556425515793,0.4106940151936719,0.6899556425515793,0.5503248288726256
Ibiam,0.17765463203140833,0.31391044524883277,0.39622798310433355,0.6759285860865998,0.3909304116177936,0.6759285860865998,0.5334294988521967
Ilhota,0.12323045708919386,0.3370709607231601,0.38717028811076953,0.3864735715751514,0.3084863193745687,0.38717028811076953,0.34782830374266915
Saltinho,0.09825015233154434,0.6088667306706084,0.35470184555900486,0.9098531265574152,0.4929179637796432,0.9098531265574152,0.7013855451685292
Salete,0.08099625322516366,0.09346959215031368,0.11251802274374863,0.6291812025446335,0.22904126766596486,0.6291812025446335,0.4291112351052992
Romelândia,0.29289413295221695,0.7814046409669995,0.27550741833443076,0.912153309444506,0.5654898754245383,0.912153309444506,0.7388215924345222
Içara,0.6654301705063127,0.13741143606062498,0.7639928700566344,0.5051697737927986,0.5180010626040927,0.7639928700566344,0.6409969663303636
Rio do Campo,0.07062187146293071,0.10238843098806907,0.19811208827223595,0.668946804386985,0.2600172987775552,0.668946804386985,0.4644820515822701
Guabiruba,0.125853780629574,0.28921126830395033,0.32462916400815683,0.37081879745536594,0.2776282525992618,0.37081879745536594,0.3242235250273139
Guaraciaba,0.32361670185444896,0.8336156238199611,0.2505207122717917,0.9427457418428073,0.5876246949472523,0.9427457418428073,0.7651852183950298
Gravatal,0.30720244029913524,0.20142919909315252,0.8018394574772706,0.276626308229017,0.39677435127464383,0.8018394574772706,0.5993069043759572
Rio das Antas,0.12028084952637842,0.1647644310968551,0.33352832929178544,0.7300088925371093,0.3371456256130321,0.7300088925371093,0.5335772590750707
Guatambú,0.7967067821175277,0.6838016466682326,0.04540005597234365,0.6107120870100552,0.5341551429420398,0.7967067821175277,0.6654309625297837
Rio do Sul,0.0989392641869278,0.13619172386391365,0.25410958271034634,0.5172994048840551,0.2516349939113107,0.5172994048840551,0.3844671993976829
Guarujá do Sul,0.2431594123755269,0.7605118263240338,0.36757001458263033,0.9630617689308432,0.5835757555532586,0.9630617689308432,0.7733187622420509
Rio do Oeste,0.09410634524661557,0.11107287180632705,0.18401560473872056,0.5605376564744509,0.23743311956652852,0.5605376564744509,0.39898538802048966
