municipio,energia_norm,pib_pc_inv,agro_pc_norm,vulnerability_index,def_mean,ppt_std,ws_std,dtr_mean,hazard_index,empregos_pc,empresas_pc,exposure_index_pc,climate_risk_index,risk_norm,rank_risk
JOSE BOITEUX,0.0532948843941459,0.93797640479777,0.1126995525670314,0.3679902805863158,0.1164437494225388,0.0675198993021983,0.1800988594361612,0.5876110345636305,0.4127647101223813,0.1967366409618133,0.4189019289021691,0.3078192849319912,0.04675571823379074,0.22784473931349064,157.0
JUPIA,1.0,0.8670967175066098,0.2636493740915639,0.7102486971993912,0.0803567365411903,0.4473851304831034,0.3944106879685067,1.0,0.7402690693741001,0.0543003718800075,0.202411654606499,0.1283560132432532,0.06748640110235583,0.3290636806940855,76.0
LACERDOPOLIS,0.1894368306453359,0.669809614303521,0.4424366365443805,0.4338943604977459,0.2867379064119907,0.41546185121103,0.3842598250093426,0.6854093987276834,0.5641883220338475,0.1238400748234839,0.3737565903705063,0.2487983325969951,0.060905366862726594,0.29693134221068723,95.0
LAGES,0.1740166949576578,0.8300132095089083,0.0233060277152863,0.3424453107272842,0.1315736814054839,0.1278556116926429,0.5319691619547237,0.4936607214554018,0.4266169780408934,0.1542874492844111,0.2053681728881765,0.1798278110862938,0.026271581457067424,0.1278295756654464,241.0
LAGUNA,0.1043645249735099,0.9176374162731455,0.0074571262855957,0.3431530225107504,0.4186129784018458,0.383397323198883,0.9510995857170444,0.0746325078034712,0.7040175922486778,0.0666061467984745,0.1449263266803117,0.1057662367393931,0.02555161718010472,0.12431430207759404,245.0
LAJEADO GRANDE,0.0017913464532648,0.7642504700660905,0.3349869628043005,0.3670095931078853,0.2405556658764929,0.7816172287364865,0.1839661017404667,0.8316232300430947,0.670531893321115,0.1117816136750233,0.3763771303012864,0.2440793719881548,0.060065892291932176,0.2928325516445267,100.0
LAURENTINO,0.1043292345100607,0.7458288815715168,0.05268187121501,0.3009466624321958,0.0892186105905342,0.1237651816445574,0.2470340780163443,0.5351939257131134,0.3919984373521253,0.2885547239685489,0.5298170705718327,0.4091858972701908,0.048271914568982076,0.2352476690165886,145.0
LAURO MULLER,0.1597386179159897,0.9142844381295432,0.0605305377139277,0.3781845312531536,0.075579938452737,0.1118253945255502,0.6239701341738213,0.536073407405236,0.4804161764065787,0.2043840314325385,0.1906888178994523,0.1975364246659954,0.035889596230594095,0.17479017410455974,198.0
LEBON REGIS,0.0470071493069448,0.8787948772163827,0.2605384752157486,0.3954468339130254,0.1001123205043873,0.1525417564905478,0.3723688621370142,0.7258690744920997,0.5317960389490559,0.100904382550042,0.1874831194394788,0.1441937509947604,0.030323521888693312,0.14761344499704024,227.0
LEOBERTO LEAL,0.0418457039578627,0.8281549880879862,0.3266461363184511,0.3988822761214334,0.0538356034705344,0.168697294680984,0.4889215620592952,0.3902656896947162,0.3821757997678389,0.0070814771833554,0.0658990636626419,0.0364902704229986,0.005562691873087875,0.026717041449967133,294.0
LINDOIA DO SUL,0.1571711183856054,0.8614725566467456,0.2941356618457428,0.437593112292698,0.1271023608220932,0.6109464994675943,0.2878988131397669,0.772829878924687,0.6112621335066112,0.0506056991273691,0.2714015746859394,0.1610036369066542,0.04306591282258216,0.20982901836542456,175.0
LONTRAS,0.0625709664843561,0.8572091068808059,0.0717872006934417,0.3305224246862012,0.1152643809923543,0.1638983997381492,0.2796448312743473,0.4861668190213232,0.3737052133889333,0.3054896177969816,0.5934440610670597,0.4494668394320207,0.0555172240591241,0.2706233757029798,117.0
LUIZ ALVES,0.1705692537286309,0.5986843895142218,0.1618239942136072,0.3103592124854866,0.113167857837288,0.3720722340281409,0.3078020956931639,0.3582422092580103,0.3299466666161459,0.512856634563039,0.5820337295599608,0.5474451820614998,0.05605947475236687,0.2732709508687816,114.0
LUZERNA,0.1175639804278011,0.7845331407331783,0.1183772741239833,0.3401581317616542,0.1087695492148596,0.377454229484479,0.4275744768050786,0.720500718243382,0.5645377308401659,0.3388299023313503,0.4646802826678781,0.4017550924996142,0.07714987403072131,0.37624623160524573,42.0
MACIEIRA,0.0575022224078511,0.8852604310659624,0.4445148119001418,0.4624258217913184,0.0926119644238617,0.1924353603381174,0.393572837701125,0.7551522969130193,0.5567977058785251,0.1133116064260722,0.3585500398608425,0.2359308231434573,0.06074691077058807,0.2961576697753287,98.0
MAFRA,0.1238131346615848,0.7852163015150089,0.1646871209053604,0.357905519027318,0.2102033151516229,0.1340479393436354,0.2839955247956249,0.7885036688648427,0.5713456404518871,0.1638158389309187,0.2112892732676825,0.1875525560993006,0.03835220170202618,0.1868140095197638,190.0
MAJOR GERCINO,0.0144574992149707,0.9468413060276758,0.1111318497594597,0.3574768850007021,0.0608362510922921,0.1987830989471012,0.4701521012707648,0.3121964566659826,0.3653220391324,0.1513600083400308,0.4148358061039898,0.2830979072220103,0.03697094034745891,0.1800699088567207,197.0
MAJOR VIEIRA,0.3033454776353684,0.8022160630156308,0.3337523080501036,0.4797712829003675,0.1317570115585579,0.0938214239756963,0.2273821640074388,0.8063584271259215,0.5605940918964126,0.0831824636857868,0.1505187303096103,0.1168505969976986,0.031427779783374334,0.15300505779722748,221.0
MARACAJA,0.042712956120087,0.8551465468259277,0.0599430504525313,0.3192675177995153,0.5639227091512595,0.0317726058512306,0.6724811651111616,0.5212394828647647,0.5599175779278829,0.1885862306562798,0.3056063291230977,0.2470962798896888,0.044171794663111594,0.21522856018949765,169.0
MARAVILHA,0.1529792521625234,0.6428201759139982,0.0601271060700618,0.2853088447155278,0.3378383347789972,0.7852085683984409,0.2304340396991376,0.8535467542239551,0.7026518392495439,0.3944148802972067,0.2938076915852646,0.3441112859412357,0.06898494766828818,0.3363804342219299,70.0
MAREMA,0.0002573481425629,0.828138213813111,0.544623294562749,0.4576729521728076,0.3634799084887824,0.6723974884731079,0.2134555333279543,0.8226085426988359,0.6702969554730029,0.0155926005136498,0.2437065729797358,0.1296495867466928,0.03977348358591376,0.19375351308569122,184.0
MASSARANDUBA,0.1052759135078862,0.7775020029880477,0.1457878104254571,0.3428552423071303,0.1027920259238442,0.3790102662767728,0.1382936735979651,0.3471607399372632,0.310412221355367,0.3691615209477831,0.5926562740006643,0.4809088974742237,0.05118143027487893,0.24945357345052577,135.0
MATOS COSTA,0.0066079581809507,0.940619868945311,0.3633524308972045,0.436860086007822,0.0919926180249117,0.0557210522007086,0.2161702236081476,0.7896199839561221,0.5389979767017973,0.068812074793373,0.2646160532532558,0.1667140640233144,0.03925561090927336,0.19122496521142118,186.0
MELEIRO,0.0,0.7488886839007163,0.2397660692009526,0.3295515843672229,0.4035410607633932,0.0094015583386471,0.5772238511146772,0.5147752924276624,0.4767296458878861,0.1281417169088282,0.421581955518978,0.2748618362139031,0.0431827212828838,0.21039934346137001,173.0
MIRIM DOCE,0.3210471682970476,0.8693933432810321,0.2172015344080822,0.4692140153287207,0.0610702597034703,0.1270795137200328,0.2072986805300243,0.6082279369673929,0.4295735173488114,0.2007597021549031,0.2773440445294511,0.2390518733421771,0.0481837533642184,0.23481721605594116,146.0
MODELO,0.0451644585493391,0.8335646930533909,0.2980788460860054,0.3922693325629118,0.3596428083849428,0.7353710419030732,0.2577362832831368,0.8290580751077364,0.6872550636387293,0.2765234591934626,0.448634324118843,0.3625788916561528,0.09774731168324698,0.4768145943340399,12.0
MONDAI,0.3209118672652176,0.4667689641196371,0.1862609619642126,0.3246472644496891,0.9850444455476536,0.9954916349652336,0.0163181866316885,0.8431151241534989,0.8527419913948762,0.3195439727596326,0.2017233775854514,0.260633675172542,0.07215391910439568,0.35185314855853905,59.0
MONTE CARLO,0.1602876467227209,0.903648356669142,0.236644718402168,0.4335269072646769,0.1228389162622714,0.2671334119842833,0.433419021382105,0.6632464600861891,0.5174529562574507,0.1156726893466439,0.178294173176202,0.146983431261423,0.03297276076636851,0.1605485304625177,213.0
MONTE CASTELO,0.1192323807850441,0.8971619313767459,0.1116014791681582,0.3759985971099828,0.0743661618892775,0.1086498750127147,0.2615702683995164,0.7513265515522852,0.5251523828828668,0.0705695066063445,0.2231199470712423,0.1468447268387934,0.02899545450308653,0.14112906743429973,233.0
MORRO DA FUMACA,0.1597386179159897,0.808063655330143,0.0126947856321061,0.326832352959413,0.5123593925177581,0.1614672983692961,0.7869357290638309,0.5265750051303099,0.6418850426670648,0.4274726978866086,0.579184045087701,0.5033283714871548,0.10559265446849636,0.5151200035926494,9.0
MORRO GRANDE,0.1597386179159897,0.760726768944036,0.2485990448442845,0.3896881439014367,0.1229563785103482,0.0557121548664128,0.568918362860879,0.485415261938964,0.438584451202515,0.1349087006440657,0.2540995459170233,0.1945041232805445,0.03324292547725929,0.16186762767741095,211.0
