municipio,ano,exposure_index
ANCHIETA,2014,0.15931855375621407
ANCHIETA,2015,0.16446239775507182
ANCHIETA,2016,0.2061215112975752
ANCHIETA,2017,0.20423113933620263
ANCHIETA,2018,0.1986047388801222
ANCHIETA,2019,0.22505443056422306
ANCHIETA,2020,0.23385942011998254
ANCHIETA,2021,0.2386749496045296
ANCHIETA,2022,0.2001464886277453
ANCHIETA,2023,0.22611064272244094
ANGELINA,2002,0.05396127920320216
ANGELINA,2003,0.048304529648433646
ANGELINA,2004,0.06322069818266408
ANGELINA,2005,0.05445691147399708
ANGELINA,2006,0.05786231215116253
ANGELINA,2007,0.061675218494458325
ANGELINA,2008,0.05143143451609847
ANGELINA,2009,0.05168549482222654
ANGELINA,2010,0.071477321810547
ANGELINA,2011,0.06325313115065671
ANGELINA,2012,0.0985668574763002
ANGELINA,2013,0.08359400287184204
ANGELINA,2014,0.10568327461499599
ANGELINA,2015,0.09807511394703046
ANGELINA,2016,0.0937120046837197
ANGELINA,2017,0.09956143460826891
ANGELINA,2018,0.10944291524070753
ANGELINA,2019,0.10691361687873921
ANGELINA,2020,0.1215439234610583
ANGELINA,2021,0.10803366100231587
ANGELINA,2022,0.09536040208095672
ANGELINA,2023,0.09683667157739058
ANITA GARIBALDI,2002,0.08241489137216998
ANITA GARIBALDI,2003,0.07927688594594168
ANITA GARIBALDI,2004,0.08417079660432616
ANITA GARIBALDI,2005,0.0854486961136732
ANITA GARIBALDI,2006,0.09143943621592211
ANITA GARIBALDI,2007,0.11425716548539647
ANITA GARIBALDI,2008,0.09889222303050224
ANITA GARIBALDI,2009,0.10471890434362292
ANITA GARIBALDI,2010,0.09847082594814334
ANITA GARIBALDI,2011,0.07639998652715443
ANITA GARIBALDI,2012,0.08205003305317195
ANITA GARIBALDI,2013,0.08221491106756326
ANITA GARIBALDI,2014,0.08257676504596687
ANITA GARIBALDI,2015,0.08954654567163459
ANITA GARIBALDI,2016,0.0976909575482725
ANITA GARIBALDI,2017,0.11636157773142083
